sector,reporter,partner,reporter_code,partner_code,value,year,flow
agriculture,Australia,Argentina,36,32,837104064.3080382,2022,export
agriculture,Australia,Bangladesh,36,50,1750996113.2082098,2022,export
agriculture,Australia,Belgium,36,56,2242005360.626249,2022,export
agriculture,Australia,Canada,36,124,2122808488.5182335,2022,export
agriculture,Australia,Chile,36,152,255042366.79027998,2022,export
agriculture,Australia,China,36,156,209910967987.38968,2022,export
agriculture,Australia,Fiji,36,242,914466035.2602934,2022,export
agriculture,Australia,Finland,36,246,639045915.2715118,2022,export
agriculture,Australia,France,36,251,1165461510.779679,2022,export
agriculture,Australia,Germany,36,276,1673696632.3443508,2022,export
agriculture,Australia,Iceland,36,352,230695628.68444887,2022,export
agriculture,Australia,Iraq,36,368,37660804.560410194,2022,export
agriculture,Australia,Ireland,36,372,200933082.08730984,2022,export
agriculture,Australia,Israel,36,376,400115468.4670954,2022,export
agriculture,Australia,Jordan,36,400,394316932.03144336,2022,export
agriculture,Australia,Papua New Guinea,36,598,3330765066.9597883,2022,export
agriculture,Australia,Russian Federation,36,643,66865942.90139659,2022,export
agriculture,Australia,Singapore,36,702,7548602851.699401,2022,export
agriculture,Australia,Viet Nam,36,704,9663490758.873909,2022,export
agriculture,Australia,Slovenia,36,705,78968463.24868786,2022,export
agriculture,Australia,Switzerland,36,757,3336679209.1459813,2022,export
agriculture,Australia,Türkiye,36,792,814583808.7299957,2022,export
agriculture,Australia,Egypt,36,818,726276047.2360417,2022,export
agriculture,Australia,Yemen,36,887,791739503.4147682,2022,export
agriculture,Brazil,Algeria,76,12,4702429051.431405,2022,export
agriculture,Brazil,Angola,76,24,802675042.4809963,2022,export
agriculture,Brazil,Bangladesh,76,50,3749641887.1083975,2022,export
agriculture,Brazil,Bulgaria,76,100,413765714.8671614,2022,export
agriculture,Brazil,Cameroon,76,120,266501705.30793846,2022,export
agriculture,Brazil,Canada,76,124,2828319324.2418857,2022,export
agriculture,Brazil,Chile,76,152,17381858810.461586,2022,export
agriculture,Brazil,China,76,156,57084428497.44566,2022,export
agriculture,Brazil,Colombia,76,170,3367624821.5632358,2022,export
agriculture,Brazil,Dem. Rep. of the Congo,76,180,92305892.5869597,2022,export
agriculture,Brazil,Cyprus,76,196,196306752.20393774,2022,export
agriculture,Brazil,Denmark,76,208,1194583723.027241,2022,export
agriculture,Brazil,Georgia,76,268,353514629.7142652,2022,export
agriculture,Brazil,Germany,76,276,4202943644.544939,2022,export
agriculture,Brazil,Gibraltar,76,292,284750123.92630744,2022,export
agriculture,Brazil,Guyana,76,328,188475132.80717045,2022,export
agriculture,Brazil,Indonesia,76,360,3113177965.7668614,2022,export
agriculture,Brazil,Israel,76,376,2839053671.074976,2022,export
agriculture,Brazil,Jamaica,76,388,121388264.55878405,2022,export
agriculture,Brazil,Jordan,76,400,649357888.7292316,2022,export
agriculture,Brazil,Rep. of Korea,76,410,10706389419.915459,2022,export
agriculture,Brazil,Kuwait,76,414,278198380.958208,2022,export
agriculture,Brazil,Lebanon,76,422,181299140.93303344,2022,export
agriculture,Brazil,Liberia,76,430,1218079652.9240913,2022,export
agriculture,Brazil,Nicaragua,76,558,166625559.47668868,2022,export
agriculture,Brazil,Nigeria,76,566,1771110676.5627575,2022,export
agriculture,Brazil,Paraguay,76,600,1185726060.6415102,2022,export
agriculture,Brazil,Peru,76,604,6291359934.154862,2022,export
agriculture,Brazil,Portugal,76,620,10682933995.462318,2022,export
agriculture,Brazil,Qatar,76,634,438274243.44651484,2022,export
agriculture,Brazil,Romania,76,642,329191307.7705735,2022,export
agriculture,Brazil,Russian Federation,76,643,4772432944.581543,2022,export
agriculture,Brazil,Saudi Arabia,76,682,5026369454.332635,2022,export
agriculture,Brazil,Senegal,76,686,283871422.68567526,2022,export
agriculture,Brazil,Slovenia,76,705,732199570.1752465,2022,export
agriculture,Brazil,Switzerland,76,757,622919097.3472825,2022,export
agriculture,Brazil,Thailand,76,764,8773524784.936272,2022,export
agriculture,Brazil,Togo,76,768,629646646.6176121,2022,export
agriculture,Brazil,Uzbekistan,76,860,265241699.90458408,2022,export
agriculture,Canada,Algeria,124,12,1159631906.016428,2022,export
agriculture,Canada,Australia,124,36,1145772653.7137604,2022,export
agriculture,Canada,Austria,124,40,58795201.31154751,2022,export
agriculture,Canada,Bahamas,124,44,270997749.8278773,2022,export
agriculture,Canada,China,124,156,23536082394.838924,2022,export
agriculture,Canada,Cuba,124,192,212271743.34320602,2022,export
agriculture,Canada,Denmark,124,208,199161414.96274745,2022,export
agriculture,Canada,Dominican Rep.,124,214,131875369.91125892,2022,export
agriculture,Canada,Germany,124,276,8752352224.673786,2022,export
