year,reporter_code,reporter,partner_code,partner,flow,value
2018,36,Australia,4,Afghanistan,import,409157.95
2018,36,Australia,8,Albania,import,10546987.207
2018,36,Australia,10,Antarctica,import,2913667.959
2018,36,Australia,12,Algeria,import,562467014.37
2018,36,Australia,16,American Samoa,import,7268063.615
2018,36,Australia,24,Angola,import,24649666.263
2018,36,Australia,28,Antigua and Barbuda,import,2910573.1
2018,36,Australia,31,Azerbaijan,import,57835036.572
2018,36,Australia,32,Argentina,import,583739553.468
2018,36,Australia,36,Australia,import,707267517.338
2018,36,Australia,40,Austria,import,1478991916.985
2018,36,Australia,44,Bahamas,import,4349954.696
2018,36,Australia,48,Bahrain,import,75136458.633
2018,36,Australia,50,Bangladesh,import,735317962.845
2018,36,Australia,51,Armenia,import,1080432.131
2018,36,Australia,52,Barbados,import,1357575.329
2018,36,Australia,56,Belgium,import,1618242444.396
2018,36,Australia,60,Bermuda,import,34507.502
2018,36,Australia,64,Bhutan,import,1475988.486
2018,36,Australia,68,Bolivia (Plurinational State of),import,11766550.386
2018,36,Australia,70,Bosnia Herzegovina,import,15435758.867
2018,36,Australia,72,Botswana,import,186771.726
2018,36,Australia,76,Brazil,import,658597160.295
2018,36,Australia,84,Belize,import,707545.528
2018,36,Australia,86,Br. Indian Ocean Terr.,import,14169.469
2018,36,Australia,90,Solomon Isds,import,9225016.878
2018,36,Australia,92,Br. Virgin Isds,import,4759094.503
2018,36,Australia,96,Brunei Darussalam,import,581950890.807
2018,36,Australia,100,Bulgaria,import,63577775.571
2018,36,Australia,104,Myanmar,import,32267294.537
2018,36,Australia,108,Burundi,import,774680.461
2018,36,Australia,112,Belarus,import,18575779.926
2018,36,Australia,116,Cambodia,import,140465973.69
2018,36,Australia,120,Cameroon,import,1211112.486
2018,36,Australia,124,Canada,import,1700361438.986
2018,36,Australia,132,Cabo Verde,import,70212.198
2018,36,Australia,136,Cayman Isds,import,1040718.943
2018,36,Australia,140,Central African Rep.,import,8780.031
2018,36,Australia,144,Sri Lanka,import,198042781.499
2018,36,Australia,148,Chad,import,57359.573
2018,36,Australia,152,Chile,import,371904237.916
2018,36,Australia,156,China,import,57102168766.725
2018,36,Australia,162,Christmas Isds,import,1296209.411
2018,36,Australia,166,Cocos Isds,import,73223.954
2018,36,Australia,170,Colombia,import,74384281.357
2018,36,Australia,174,Comoros,import,50490.897
2018,36,Australia,178,Congo,import,403758831.805
2018,36,Australia,180,Dem. Rep. of the Congo,import,64098.559
2018,36,Australia,184,Cook Isds,import,380576.204
2018,36,Australia,188,Costa Rica,import,98438000.273
2018,36,Australia,191,Croatia,import,30479201.799
2018,36,Australia,192,Cuba,import,9014956.856
2018,36,Australia,196,Cyprus,import,26134213.995
2018,36,Australia,203,Czechia,import,552320803.537
2018,36,Australia,204,Benin,import,18052.204
2018,36,Australia,208,Denmark,import,1099337108.879
2018,36,Australia,212,Dominica,import,523804.333
2018,36,Australia,214,Dominican Rep.,import,37664164.514
2018,36,Australia,218,Ecuador,import,24462410.977
2018,36,Australia,222,El Salvador,import,8540377.184
2018,36,Australia,231,Ethiopia,import,18487945.831
2018,36,Australia,232,Eritrea,import,20004.705
2018,36,Australia,233,Estonia,import,137845300.694
2018,36,Australia,238,Falkland Isds (Malvinas),import,16144.078
2018,36,Australia,242,Fiji,import,134976814.849
2018,36,Australia,246,Finland,import,854683667.321
2018,36,Australia,251,France,import,4078329346.705
2018,36,Australia,258,French Polynesia,import,1132671.627
2018,36,Australia,262,Djibouti,import,1476866.452
2018,36,Australia,266,Gabon,import,367584237.739
2018,36,Australia,268,Georgia,import,2151013.501
2018,36,Australia,270,Gambia,import,35579.825
2018,36,Australia,276,Germany,import,11537626070.139
2018,36,Australia,288,Ghana,import,3647776.619
2018,36,Australia,292,Gibraltar,import,35769.744
2018,36,Australia,296,Kiribati,import,44352.522
2018,36,Australia,300,Greece,import,207894492.63
2018,36,Australia,308,Grenada,import,4708.258
2018,36,Australia,316,Guam,import,86673.471
2018,36,Australia,320,Guatemala,import,16780345.457
2018,36,Australia,324,Guinea,import,209252.339
2018,36,Australia,328,Guyana,import,226139.323
2018,36,Australia,332,Haiti,import,2224012.814
2018,36,Australia,340,Honduras,import,62579657.478
2018,36,Australia,344,"China, Hong Kong SAR",import,768304927.441
2018,36,Australia,348,Hungary,import,484080492.781
2018,36,Australia,352,Iceland,import,10261212.994
2018,36,Australia,360,Indonesia,import,3752250111.239
2018,36,Australia,364,Iran,import,49897206.863
2018,36,Australia,368,Iraq,import,186920.813
2018,36,Australia,372,Ireland,import,1479376619.264
2018,36,Australia,376,Israel,import,608058849.271
2018,36,Australia,380,Italy,import,5438785173.723
2018,36,Australia,384,Côte d'Ivoire,import,7847610.731
2018,36,Australia,388,Jamaica,import,1122613.596
2018,36,Australia,392,Japan,import,17294608235.605
2018,36,Australia,398,Kazakhstan,import,2535850.281
2018,36,Australia,400,Jordan,import,43091984.355
2018,36,Australia,404,Kenya,import,34343057.845
2018,36,Australia,410,Rep. of Korea,import,9837080393.926
2018,36,Australia,414,Kuwait,import,42313444.139
2018,36,Australia,417,Kyrgyzstan,import,189261.258
2018,36,Australia,418,Lao People's Dem. Rep.,import,17433958.474
2018,36,Australia,422,Lebanon,import,16049136.777
2018,36,Australia,426,Lesotho,import,1294150.434
2018,36,Australia,428,Latvia,import,54594548.59
2018,36,Australia,430,Liberia,import,57738.29
2018,36,Australia,434,Libya,import,568547894.771
2018,36,Australia,440,Lithuania,import,93452053.622
2018,36,Australia,442,Luxembourg,import,23000826.312
2018,36,Australia,446,"China, Macao SAR",import,38948857.467
2018,36,Australia,450,Madagascar,import,24457220.609
