country_code,country,imports,exports,balance
36,Australia,1238259754686.4268,1526274381935.8013,288014627249.3745
76,Brazil,1079372499450.0,1277474229356.0,198101729906.0
124,Canada,2381760667026.3286,2382358077992.44,597410966.1113281
156,China,11677868302776.0,14484368636554.0,2806500333778.0
251,France,3418645026278.684,2816582120915.732,-602062905362.9521
276,Germany,6719318554818.116,7763279209820.722,1043960655002.6055
699,India,2657447823502.849,1768729458243.3406,-888718365259.5085
380,Italy,2668006223756.995,2861364502944.0225,193358279187.02734
392,Japan,3775881097132.9717,3588887063817.4097,-186994033315.562
484,Mexico,2412840171393.0,2400460991340.0,-12379180053.0
528,Netherlands,2854122825081.9897,3181162858987.6406,327040033905.6509
410,Rep. of Korea,2852471139970.0,2987322236464.0,134851096494.0
724,Spain,2021380460052.253,1811192004166.6748,-210188455885.57812
826,United Kingdom,3508231289478.0767,2360537939861.2266,-1147693349616.85
842,USA,13890184485928.0,8555059321700.0,-5335125164228.0
