year,country_code,country,imports,exports,balance,total_trade
2018,36,Australia,235632823913.72623,256565262375.592,20932438461.865784,492198086289.31824
2018,76,Brazil,192840115910.0,231889523399.0,39049407489.0,424729639309.0
2018,124,Canada,459945043260.6908,450392396468.985,-9552646791.70581,910337439729.6758
2018,156,China,2133605397056.0,2486439719803.0,352834322747.0,4620045116859.0
2018,251,France,659374522338.0161,568535879844.9247,-90838642493.09143,1227910402182.941
2018,276,Germany,1292726052270.0532,1562418816337.2227,269692764067.16943,2855144868607.276
2018,699,India,507615733027.07886,322492099897.0219,-185123633130.05695,830107832924.1008
2018,380,Italy,503134787802.30334,549514772960.88696,46379985158.58362,1052649560763.1903
2018,392,Japan,748525278186.9629,738195054863.864,-10330223323.098877,1486720333050.827
2018,484,Mexico,464294259444.0,450683646625.0,-13610612819.0,914977906069.0
2018,528,Netherlands,521035627912.0362,587893084428.6809,66857456516.644714,1108928712340.717
2018,410,Rep. of Korea,535183373387.0,604807317420.0,69623944033.0,1139990690807.0
2018,724,Spain,391056705310.0869,346064315051.14,-44992390258.9469,737121020361.2269
2018,826,United Kingdom,671694257766.437,490840363553.57184,-180853894212.86517,1162534621320.0088
2018,842,USA,2611432490157.0,1665302936591.0,-946129553566.0,4276735426748.0
2019,36,Australia,221527797251.591,270260835869.767,48733038618.175995,491788633121.35803
2019,76,Brazil,193162004038.0,221126807647.0,27964803609.0,414288811685.0
2019,124,Canada,453630813647.82605,445492736489.3561,-8138077158.469971,899123550137.1821
2019,156,China,2079285499197.0,2499206993866.0,419921494669.0,4578492493063.0
2019,251,France,643208112669.3074,556364114008.3228,-86843998660.98462,1199572226677.6301
2019,276,Germany,1239897203131.9043,1493266563850.4326,253369360718.52832,2733163766982.337
2019,699,India,478883729111.4032,323250726424.7221,-155633002686.6811,802134455536.1252
2019,380,Italy,474957327527.24524,537748428817.92206,62791101290.67682,1012705756345.1672
2019,392,Japan,721077406256.1722,705671082765.8252,-15406323490.347046,1426748489021.9976
2019,484,Mexico,455235784381.0,460603695808.0,5367911427.0,915839480189.0
2019,528,Netherlands,514857687783.6973,576784455411.2719,61926767627.574524,1091642143194.9692
2019,410,Rep. of Korea,503262910727.0,542171769089.0,38908858362.0,1045434679816.0
2019,724,Spain,375470067282.00586,337202601407.8049,-38267465874.20099,712672668689.8108
2019,826,United Kingdom,692494170352.6799,468322416147.58075,-224171754205.09918,1160816586500.2607
2019,842,USA,2567492197103.0,1644276220783.0,-923215976320.0,4211768417886.0
2020,36,Australia,210212509293.225,247159345941.56207,36946836648.33707,457371855234.7871
2020,76,Brazil,166336211575.0,209180241655.0,42844030080.0,375516453230.0
2020,124,Canada,405204944782.268,388173391425.20306,-17031553357.064941,793378336207.4711
2020,156,China,2069567864872.0,2589098353298.0,519530488426.0,4658666218170.0
2020,251,France,580805912500.1511,487987460594.8141,-92818451905.33704,1068793373094.9652
2020,276,Germany,1173167331768.1262,1385852259832.32,212684928064.19385,2559019591600.4463
2020,699,India,367980363479.68896,275488744927.551,-92491618552.13794,643469108407.24
2020,380,Italy,426475840328.67413,498803831970.6282,72327991641.95404,925279672299.3022
2020,392,Japan,635402321812.2659,641282568357.2341,5880246544.968262,1276684890169.5
2020,484,Mexico,382979895758.0,416982170486.0,34002274728.0,799962066244.0
2020,528,Netherlands,484088530592.55176,551352792281.9,67264261689.34827,1035441322874.4518
2020,410,Rep. of Korea,467590776025.0,512419287526.0,44828511501.0,980010063551.0
2020,724,Spain,329738801365.618,312080513421.1499,-17658287944.46808,641819314786.7678
2020,826,United Kingdom,634174870301.6671,395692086586.13794,-238482783715.52917,1029866956887.805
2020,842,USA,2405381557667.0,1430253623489.0,-975127934178.0,3835635181156.0
2021,36,Australia,261586379464.76587,342036103269.83704,80449723805.07117,603622482734.6029
2021,76,Brazil,234690442199.0,280814577460.0,46124135261.0,515505019659.0
2021,124,Canada,491400949546.13995,501538854874.3291,10137905328.189148,992939804420.469
